Biomarker_ID,Biomarker_Name,Disease,Researcher_Name,Sample_Count,Expression_Level,Validation_Status,Priority,Country
BM079,ALK,Prostate Cancer,Dr. Patel,793,87,Validated,Low,Japan
BM080,HER2,Leukemia,Dr. Johnson,953,40,Pending,Medium,USA
BM081,ALK,Ovarian Cancer,Dr. Johnson,721,81,Pending,Medium,Germany
BM082,PDL1,Prostate Cancer,Dr. Lee,623,70,Under Review,High,Canada
BM083,TP53,Colon Cancer,Dr. Johnson,779,80,Under Review,Medium,India
BM084,KRAS,Prostate Cancer,Dr. Kumar,330,91,Validated,High,India
BM085,BRCA1,Lung Cancer,Dr. Patel,725,94,Validated,Medium,Germany
BM086,BRAF,Lung Cancer,Dr. Chen,813,64,Pending,Medium,USA
BM087,EGFR,Prostate Cancer,Dr. Chen,105,97,Validated,Medium,USA
BM088,EGFR,Ovarian Cancer,Dr. Chen,630,69,Validated,Low,USA
BM089,TP53,Leukemia,Dr. Lee,920,69,Under Review,Low,Japan
BM090,BRAF,Colon Cancer,Dr. Brown,553,79,Under Review,Low,Germany
BM091,MYC,Leukemia,Dr. Lee,861,95,Pending,Medium,UK
BM092,KRAS,Ovarian Cancer,Dr. Chen,383,89,Under Review,Medium,Canada
BM093,KRAS,Colon Cancer,Dr. Patel,179,85,Pending,High,UK
BM094,VEGF,Colon Cancer,Dr. Johnson,182,48,Validated,High,Germany
BM095,EGFR,Prostate Cancer,Dr. Lee,165,66,Pending,Medium,Japan
BM096,PDL1,Leukemia,Dr. Smith,311,93,Pending,Medium,Australia
BM097,BRAF,Prostate Cancer,Dr. Smith,977,96,Under Review,Medium,Germany
BM098,BRCA1,Colon Cancer,Dr. Kumar,871,64,Pending,Low,Canada
BM099,MYC,Ovarian Cancer,Dr. Johnson,325,71,Validated,Medium,Germany
BM100,PDL1,Breast Cancer,Dr. Patel,444,82,Under Review,Medium,Canada
